Step(mm),西村式(L: 黒 R: 白)
0,26.44
1,23.83
2,21.35
3,19.01
4,16.82
5,14.78
6,12.92
7,11.22
8,9.71
9,8.39
10,7.27
11,6.30
12,5.51
13,4.88
14,4.37
15,3.99
16,3.72
17,3.54
18,3.44
19,3.40
20,3.44
21,3.55
22,3.74
23,4.01
24,4.35
25,4.77
26,5.32
27,5.96
28,6.70
29,7.58
30,8.59
31,9.75
32,11.10
33,12.60
34,14.30
35,16.16
36,18.24
37,20.51
38,22.97
39,25.65
40,28.44
41,31.43
42,34.53
43,37.78
44,41.13
45,44.50
46,47.96
47,51.41
48,54.85
49,58.26
50,61.62
51,64.92
52,68.10
53,71.15
54,74.10
55,76.86
56,79.54
57,81.99
58,84.27
59,86.32
60,88.17
61,89.83
62,91.28
63,92.51
64,93.54
65,94.43
66,95.08
67,95.65
68,96.12
69,96.46
70,96.75
71,96.88
72,97.06
73,97.05
74,97.01
75,97.01
76,96.81
77,96.61
78,96.26
79,95.91
80,95.37
81,94.81
82,94.07
83,93.16
84,92.14
85,90.94
86,89.54
87,87.96
88,86.15
89,84.13
90,81.94
91,79.56
92,76.88
93,74.06
94,71.08
95,67.96
96,64.70
97,61.33
98,57.89
99,54.41
100,50.87
101,47.38
102,43.92
103,40.47
104,37.07
105,33.79
106,30.63
107,27.57
108,24.64
109,21.90
110,19.33
111,16.95
112,14.79
113,12.78
114,11.07
115,9.54
116,8.21
117,7.09
118,6.14
119,5.34
120,4.66
121,4.11
122,3.66
123,3.29
124,3.01
125,2.81
126,2.66
127,2.59
128,2.57
129,2.62
130,2.74
131,2.94
132,3.22
133,3.59
134,4.08
135,4.70
136,5.45
137,6.35
138,7.43
139,8.68
140,10.13
141,11.78
142,13.64
143,15.67
144,17.92
145,20.40
146,23.04
147,25.85
148,28.80
149,31.92
