Step(mm),増谷式(L: 白 R: 黒)
0,1.45
1,1.52
2,1.61
3,1.74
4,1.88
5,2.06
6,2.28
7,2.53
8,2.80
9,3.13
10,3.52
11,3.96
12,4.47
13,5.05
14,5.73
15,6.49
16,7.37
17,8.37
18,9.51
19,10.81
20,12.26
21,13.89
22,15.69
23,17.67
24,19.85
25,22.21
26,24.73
27,27.44
28,30.30
29,33.30
30,36.45
31,39.70
32,43.04
33,46.41
34,49.80
35,53.20
36,56.58
37,59.90
38,63.18
39,66.28
40,69.30
41,72.24
42,75.02
43,77.62
44,79.98
45,82.22
46,84.23
47,86.02
48,87.55
49,88.86
50,89.92
51,90.75
52,91.34
53,91.65
54,91.75
55,91.64
56,91.33
57,90.80
58,90.03
59,89.08
60,87.92
61,86.55
62,84.93
63,83.12
64,81.01
65,78.73
66,76.23
67,73.53
68,70.63
69,67.62
70,64.40
71,61.14
72,57.75
73,54.29
74,50.81
75,47.33
76,43.86
77,40.41
78,37.05
79,33.75
80,30.57
81,27.50
82,24.58
83,21.79
84,19.16
85,16.74
86,14.51
87,12.51
88,10.72
89,9.14
90,7.77
91,6.59
92,5.58
93,4.74
94,4.05
95,3.46
96,2.98
97,2.57
98,2.23
99,1.94
100,1.71
101,1.51
102,1.36
103,1.23
104,1.14
105,1.07
106,1.03
107,1.00
108,0.99
109,1.00
110,1.03
111,1.07
112,1.13
113,1.21
114,1.32
115,1.46
116,1.63
117,1.84
118,2.10
119,2.43
120,2.83
121,3.31
122,3.90
123,4.61
124,5.46
125,6.47
126,7.64
127,8.99
128,10.54
129,12.29
130,14.24
131,16.41
132,18.77
133,21.36
134,24.10
135,27.01
136,30.08
137,33.28
138,36.57
139,39.92
140,43.35
141,46.81
142,50.27
143,53.66
144,57.05
145,60.39
146,63.64
147,66.77
148,69.77
149,72.66
