Step(mm),西村式（L: 黒 R: 白）,増谷式（L: 黒 R: 白）,西村式(L: 白 R: 黒)
0,38.17,1.55,98.22
1,35.19,1.51,98.24
2,32.27,1.51,98.25
3,29.47,1.53,
4,26.76,1.59,
5,24.16,1.68,
6,21.71,1.80,
7,19.34,1.96,
8,17.15,2.15,
9,15.10,2.37,
10,13.20,2.62,
11,11.49,2.91,
12,9.95,3.25,
13,8.62,3.64,
14,7.45,4.08,
15,6.47,4.58,
16,5.66,5.17,
17,5.00,5.83,
18,4.49,6.59,
19,4.10,7.45,
20,3.82,8.43,
21,3.63,9.54,
22,3.52,10.78,
23,3.48,12.18,
24,3.52,13.73,
25,3.63,15.46,
26,3.82,17.35,
27,4.07,19.40,
28,4.42,21.65,
29,4.85,24.09,
30,5.38,26.69,
31,6.01,29.44,
32,6.74,32.35,
33,7.61,35.39,
34,8.60,38.53,
35,9.74,41.80,
36,11.04,45.11,
37,12.51,48.47,
38,14.15,51.83,
39,15.95,55.16,
40,17.97,58.47,
41,20.18,61.67,
42,22.56,64.84,
43,25.14,67.90,
44,27.87,70.81,
45,30.80,73.58,
46,33.82,76.19,
47,37.00,78.72,
48,40.32,80.95,
49,43.66,83.06,
50,47.06,84.97,
51,50.48,86.62,
52,53.93,87.95,
53,57.32,89.15,
54,60.63,90.06,
55,63.89,90.70,
56,67.12,91.16,
57,70.17,91.28,
58,73.12,91.28,
59,75.92,91.01,
60,78.61,90.56,
61,81.15,89.91,
62,83.44,89.03,
63,85.59,87.96,
64,87.49,86.65,
65,89.23,85.19,
66,90.72,83.49,
67,92.03,81.49,
68,93.13,79.34,
69,94.07,76.97,
70,94.78,74.37,
71,95.41,71.63,
72,95.88,68.68,
73,96.27,65.58,
74,96.57,62.35,
75,96.78,59.05,
76,96.87,55.66,
77,96.96,52.22,
78,96.95,48.78,
79,96.89,45.35,
80,96.71,41.96,
81,96.57,38.61,
82,96.18,35.34,
83,95.83,32.13,
84,95.38,29.05,
85,94.73,26.09,
86,94.04,23.24,
87,93.17,20.58,
88,92.21,18.06,
89,91.07,15.74,
90,89.76,13.62,
91,88.29,11.72,
92,86.53,10.01,
93,84.61,8.53,
94,82.53,7.25,
95,80.21,6.15,
96,77.72,5.22,
97,74.96,4.44,
98,72.13,3.80,
99,69.07,3.26,
100,65.86,2.81,
101,62.60,2.43,
102,59.17,2.12,
103,55.73,1.85,
104,52.24,1.64,
105,48.81,1.46,
106,45.31,1.32,
107,41.90,1.21,
108,38.53,1.12,
109,35.26,1.07,
110,32.05,1.03,
111,29.00,1.02,
112,26.01,1.02,
113,23.23,1.04,
114,20.58,1.08,
115,18.11,1.13,
116,15.86,1.21,
117,13.81,1.31,
118,11.98,1.44,
119,10.35,1.60,
120,8.93,1.80,
121,7.71,2.06,
122,6.66,2.37,
123,5.78,2.75,
124,5.04,3.21,
125,4.44,3.77,
126,3.94,4.43,
127,3.53,5.23,
128,3.21,6.16,
129,2.96,7.24,
130,2.79,8.50,
131,2.69,9.94,
132,2.65,11.56,
133,2.68,13.38,
134,2.77,15.39,
135,2.95,17.61,
136,3.20,20.05,
137,3.55,22.65,
138,4.00,25.46,
139,4.57,28.43,
140,5.26,31.51,
141,6.10,34.71,
142,7.09,37.96,
143,8.25,41.36,
144,9.60,44.73,
145,11.12,48.11,
146,12.85,51.53,
147,14.76,54.89,
148,16.89,58.21,
149,19.20,61.44,
