Step(mm),西村式（L: 黒 R: 白）,堀式（L: 黒 R: 白）,柳田式（L: 黒 R: 白),柳田式3Fix（L: 黒 R: 白),柳田式5（L: 黒 R: 白),柳田式TB（L: 黒 R: 白),柳田式3Fix（L: 黒 R: 白)#Bp=0.2519
0,4.90,3.80,1.43,2.03,2.05,1.61,0.00
1,4.74,4.38,1.44,2.03,2.05,1.62,1.41
2,7.04,4.67,1.45,2.05,2.07,1.62,1.35
3,6.26,4.75,1.46,2.04,2.06,1.63,1.31
4,5.65,4.66,1.47,2.06,2.08,1.65,1.08
5,5.16,4.42,1.48,2.07,2.09,1.66,1.66
6,4.82,4.02,1.49,2.09,2.12,1.68,1.56
7,4.59,3.53,1.49,2.11,2.13,1.69,1.43
8,4.46,4.04,1.49,2.13,2.15,1.69,1.33
9,3.66,4.41,1.51,2.15,2.17,1.70,1.26
10,5.96,4.54,1.52,2.16,2.18,1.71,1.23
11,5.38,4.49,1.53,2.17,2.19,1.72,1.12
12,4.92,4.28,1.54,2.17,2.19,1.74,1.05
13,4.60,3.93,1.56,2.19,2.21,1.76,1.44
14,4.38,3.44,1.56,2.21,2.23,1.76,1.34
15,4.27,3.70,1.56,2.24,2.26,1.78,1.25
16,4.24,4.16,1.57,2.26,2.28,1.78,1.19
17,5.61,4.36,1.58,2.27,2.30,1.79,1.16
18,5.06,4.37,1.60,2.29,2.31,1.80,1.15
19,4.64,4.22,1.61,2.29,2.31,1.82,1.00
20,4.35,3.91,1.63,2.30,2.32,1.84,1.03
21,4.15,3.45,1.64,2.31,2.33,1.85,1.27
22,4.05,3.41,1.64,2.34,2.37,1.86,1.19
23,4.04,3.95,1.64,2.37,2.39,1.87,1.13
24,5.33,4.22,1.65,2.40,2.42,1.88,1.10
25,4.82,4.27,1.66,2.41,2.44,1.89,1.10
26,4.43,4.15,1.69,2.42,2.45,1.91,1.12
27,4.15,3.88,1.70,2.43,2.45,1.93,0.94
28,3.98,3.45,1.72,2.44,2.47,1.94,1.00
29,3.89,3.12,1.73,2.46,2.49,1.96,1.13
30,3.90,3.73,1.73,2.49,2.52,1.97,1.08
