Step(mm),柳田式3Fix（L: 黒 R: 白)#Bp_0.251935,柳田式3Fix（L: 黒 R: 白)#Bp_0.2519207,堀式（L: 黒 R: 白）,柳田式3Fix（L: 黒 R: 白)#Bp_0.251923
0,163.89,164.68,,162.48
1,162.72,165.79,,163.77
2,161.41,166.33,,162.84
3,164.92,166.22,,160.51
4,165.71,165.46,,158.44
5,165.92,164.17,,161.47
6,165.55,162.32,,163.38
7,164.54,162.59,,164.78
8,162.92,167.46,,165.61
9,160.73,167.56,,165.53
10,160.56,167.06,,165.65
11,166.78,165.86,,164.18
12,166.48,164.16,,163.52
13,165.58,161.88,,165.55
14,164.09,159.94,,166.44
15,162.14,164.06,,166.79
16,159.56,167.97,,166.43
17,156.53,167.05,,165.06
18,159.94,165.45,,166.60
19,166.54,163.33,,166.11
20,165.29,160.62,,166.75
21,163.44,157.52,,167.36
22,161.00,156.14,,167.13
23,158.08,165.33,,166.39
24,154.65,166.47,,164.98
25,151.40,164.48,,163.27
26,159.58,162.04,,165.97
27,164.24,158.97,,166.49
28,162.03,155.47,,167.67
29,159.31,151.56,,167.06
30,156.06,151.81,,165.76
31,152.34,165.14,,164.02
32,148.14,163.08,,161.72
33,146.30,160.21,,160.34
34,159.47,156.86,,163.84
35,160.51,153.13,,165.49
36,157.39,148.93,,166.47
37,153.83,144.27,,164.83
38,149.76,147.79,,162.69
39,145.36,161.40,,159.85
40,140.55,158.14,,156.62
41,141.05,154.48,,156.23
42,157.43,150.34,,160.62
43,154.94,145.92,,163.11
44,150.96,141.07,,163.36
45,146.70,135.80,,160.74
46,141.99,144.21,,157.58
47,136.95,155.57,,153.94
48,131.50,151.65,,149.92
49,135.99,147.30,,150.74
50,152.08,142.62,,155.94
51,147.91,137.45,,159.48
52,143.34,131.91,,158.28
53,138.35,126.12,,154.69
54,133.08,141.05,,150.74
55,127.44,148.40,,146.41
56,121.55,143.78,,141.54
57,131.56,138.77,,143.95
58,144.09,133.43,,149.88
59,139.21,127.64,,154.17
60,134.14,121.71,,151.14
61,128.46,116.86,,147.00
62,122.63,137.29,,142.30
63,116.60,139.59,,137.24
64,110.32,134.40,,132.12
65,127.11,128.75,,135.85
66,134.79,122.89,,142.59
67,129.38,116.82,,147.05
68,123.71,110.40,,142.57
69,117.79,109.47,,137.67
