Step(mm),西村式（L: 黒 R: 白）,増谷式（L: 黒 R: 白）,西村式(L: 白 R: 黒)
0,38.17,1.55,61.09
1,35.19,1.51,64.13
2,32.27,1.51,67.06
3,29.47,1.53,69.92
4,26.76,1.59,72.69
5,24.16,1.68,75.31
6,21.71,1.80,77.78
7,19.34,1.96,80.17
8,17.15,2.15,82.41
9,15.10,2.37,84.49
10,13.20,2.62,86.48
11,11.49,2.91,88.18
12,9.95,3.25,89.70
13,8.62,3.64,91.07
14,7.45,4.08,92.27
15,6.47,4.58,93.25
16,5.66,5.17,94.05
17,5.00,5.83,94.67
18,4.49,6.59,95.26
19,4.10,7.45,95.61
20,3.82,8.43,95.88
21,3.63,9.54,96.04
22,3.52,10.78,96.17
23,3.48,12.18,96.18
24,3.52,13.73,96.15
25,3.63,15.46,95.98
26,3.82,17.35,95.79
27,4.07,19.40,95.51
28,4.42,21.65,95.11
29,4.85,24.09,94.75
30,5.38,26.69,94.22
31,6.01,29.44,93.55
32,6.74,32.35,92.78
33,7.61,35.39,91.90
34,8.60,38.53,90.86
35,9.74,41.80,89.73
36,11.04,45.11,88.49
37,12.51,48.47,86.99
38,14.15,51.83,85.33
39,15.95,55.16,83.48
40,17.97,58.47,81.50
41,20.18,61.67,79.32
42,22.56,64.84,76.93
43,25.14,67.90,74.36
44,27.87,70.81,71.62
45,30.80,73.58,68.74
46,33.82,76.19,65.71
47,37.00,78.72,62.59
48,40.32,80.95,59.30
49,43.66,83.06,55.98
50,47.06,84.97,52.59
51,50.48,86.62,49.19
52,53.93,87.95,45.80
53,57.32,89.15,42.46
54,60.63,90.06,39.13
55,63.89,90.70,35.87
56,67.12,91.16,32.73
57,70.17,91.28,29.69
58,73.12,91.28,26.76
59,75.92,91.01,23.95
60,78.61,90.56,21.30
61,81.15,89.91,18.79
62,83.44,89.03,16.46
63,85.59,87.96,14.33
64,87.49,86.65,12.39
65,89.23,85.19,10.67
66,90.72,83.49,9.15
67,92.03,81.49,7.83
68,93.13,79.34,6.72
69,94.07,76.97,5.78
70,94.78,74.37,5.01
71,95.41,71.63,4.39
72,95.88,68.68,3.89
73,96.27,65.58,3.50
74,96.57,62.35,3.19
75,96.78,59.05,2.96
76,96.87,55.66,2.81
77,96.96,52.22,2.72
78,96.95,48.78,2.69
79,96.89,45.35,2.74
80,96.71,41.96,2.86
81,96.57,38.61,3.05
82,96.18,35.34,3.32
83,95.83,32.13,3.68
84,95.38,29.05,4.14
85,94.73,26.09,4.71
86,94.04,23.24,5.39
87,93.17,20.58,6.21
88,92.21,18.06,7.17
89,91.07,15.74,8.28
90,89.76,13.62,9.57
91,88.29,11.72,11.05
92,86.53,10.01,12.73
93,84.61,8.53,14.60
94,82.53,7.25,16.67
95,80.21,6.15,18.97
96,77.72,5.22,21.47
97,74.96,4.44,24.18
98,72.13,3.80,27.05
99,69.07,3.26,30.11
100,65.86,2.81,33.33
101,62.60,2.43,36.60
102,59.17,2.12,40.02
103,55.73,1.85,43.49
104,52.24,1.64,47.00
105,48.81,1.46,50.47
106,45.31,1.32,53.95
107,41.90,1.21,57.43
108,38.53,1.12,60.81
109,35.26,1.07,64.15
110,32.05,1.03,67.38
111,29.00,1.02,70.46
112,26.01,1.02,73.44
113,23.23,1.04,76.29
114,20.58,1.08,78.96
115,18.11,1.13,81.47
116,15.86,1.21,83.75
117,13.81,1.31,85.90
118,11.98,1.44,87.73
119,10.35,1.60,89.36
120,8.93,1.80,90.78
121,7.71,2.06,92.03
122,6.66,2.37,93.11
123,5.78,2.75,93.94
124,5.04,3.21,94.69
125,4.44,3.77,95.29
126,3.94,4.43,95.77
127,3.53,5.23,96.16
128,3.21,6.16,96.54
129,2.96,7.24,96.69
130,2.79,8.50,96.89
131,2.69,9.94,96.97
132,2.65,11.56,96.99
133,2.68,13.38,96.92
134,2.77,15.39,96.83
135,2.95,17.61,96.63
136,3.20,20.05,96.40
137,3.55,22.65,95.97
138,4.00,25.46,95.51
139,4.57,28.43,94.93
140,5.26,31.51,94.18
141,6.10,34.71,93.39
142,7.09,37.96,92.36
143,8.25,41.36,91.21
144,9.60,44.73,89.83
145,11.12,48.11,88.35
146,12.85,51.53,86.54
147,14.76,54.89,84.58
148,16.89,58.21,82.55
149,19.20,61.44,80.21
