Step(mm),西村式(L: 黒 R: 白),提案手法(L: 黒 R: 白)
0,4.90,7.66
1,5.01,8.37
2,5.20,9.19
3,5.46,10.10
4,5.81,11.15
5,6.25,12.31
6,6.77,13.61
7,4.66,4.68
8,4.77,4.79
9,4.96,4.98
10,5.23,5.25
11,5.58,5.59
12,6.02,6.03
13,6.56,6.57
14,4.42,6.06
15,4.53,5.45
16,4.73,4.98
17,5.01,4.63
18,5.37,4.40
19,5.81,4.27
20,6.37,4.22
21,4.41,4.18
22,4.37,12.20
23,4.57,10.63
24,4.85,9.26
25,5.23,8.07
26,5.69,7.06
27,6.25,6.19
28,6.91,5.49
29,4.20,26.03
30,4.41,23.47
31,4.69,21.04
32,5.07,18.75
33,5.54,16.59
34,6.12,14.62
35,6.80,12.81
36,4.06,45.32
37,4.28,42.20
38,4.59,
39,4.99,
40,5.48,
41,6.07,
42,6.77,
43,3.93,
44,4.17,
45,4.48,
46,4.89,
47,5.39,
48,6.00,
49,6.72,
50,5.17,
51,4.10,
52,4.43,
53,4.85,
54,5.37,
55,5.99,
56,6.73,
57,7.59,
58,4.03,
59,4.38,
60,4.82,
61,5.36,
62,6.01,
63,6.77,
64,7.66,
65,4.03,
66,4.39,
67,4.85,
68,5.40,
69,6.08,
70,6.88,
71,7.79,
72,4.01,
73,4.39,
74,4.86,
75,5.45,
76,6.14,
77,6.97,
78,7.92,
79,7.01,
80,4.43,
81,4.94,
82,5.54,
83,6.27,
84,7.12,
85,8.11,
86,9.24,
87,4.48,
88,4.99,
89,5.63,
90,6.38,
91,7.24,
92,8.27,
93,9.44,
94,4.55,
95,5.09,
96,5.75,
97,6.53,
98,7.45,
99,8.51,
100,9.72,
101,4.62,
102,5.18,
103,5.86,
104,6.67,
105,7.62,
106,8.71,
107,9.95,
108,10.19,
109,5.32,
110,6.03,
111,6.87,
112,7.85,
113,8.98,
114,10.27,
115,11.70,
116,5.45,
117,6.19,
118,7.06,
119,8.08,
