Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,5.79,4.43
1,9.71,3.41
2,23.99,4.85
3,21.59,4.53
4,19.28,4.33
5,,4.22
6,,4.20
7,,4.26
8,,4.41
9,,4.60
10,,4.30
11,,4.11
12,,4.02
13,,4.00
14,,4.08
15,,4.23
16,,4.40
17,,4.12
18,,3.95
19,,3.87
20,,3.87
21,,3.95
22,,4.11
23,,4.19
24,,3.93
25,,3.77
26,,3.71
27,,3.73
28,,3.82
29,,3.99
30,,3.00
31,,3.81
32,,3.67
33,,3.61
34,,3.63
35,,3.74
36,,3.92
37,,4.18
38,,3.67
39,,3.54
40,,3.50
41,,3.54
42,,3.65
43,,3.85
44,,4.13
45,,3.60
46,,3.48
47,,3.45
48,,3.50
49,,3.63
50,,3.84
51,,4.13
52,,3.49
53,,3.39
54,,3.38
55,,3.44
56,,3.58
57,,3.80
58,,4.11
59,,3.21
60,,3.37
61,,3.36
62,,3.44
63,,3.59
64,,3.83
65,,4.15
66,,4.57
67,,3.32
68,,3.32
69,,3.40
70,,3.57
71,,3.82
72,,4.17
73,,4.61
74,,3.31
75,,3.32
76,,3.43
77,,3.61
78,,3.88
79,,4.24
80,,4.71
81,,3.28
82,,3.31
83,,3.42
84,,3.61
85,,3.90
86,,4.29
87,,4.77
88,,4.18
89,,3.35
90,,3.47
91,,3.68
92,,3.99
93,,4.38
94,,4.89
95,,5.51
96,,3.38
97,,3.51
98,,3.73
99,,4.05
