Step(mm),西村式(L: 黒 R: 白),西村式2(L: 黒 R: 白),西村式3(L: 黒 R: 白)
0,5.03,5.01,4.99
1,5.26,5.23,5.22
2,5.57,5.54,4.83
3,4.68,5.94,4.63
4,4.57,4.54,4.53
5,4.57,4.54,4.53
6,4.63,4.61,4.59
7,4.79,4.76,4.74
8,5.02,5.00,4.98
9,5.34,5.32,3.52
10,3.69,5.72,4.43
11,4.39,3.90,4.35
12,4.38,4.35,4.34
13,4.47,4.44,4.42
14,4.63,4.60,4.59
15,4.86,4.84,4.82
16,5.19,5.17,5.15
17,5.61,5.59,4.21
18,4.18,6.09,4.13
19,4.18,4.16,4.14
20,4.27,4.25,4.23
21,4.45,4.43,4.41
22,4.70,4.68,4.66
23,5.04,5.02,5.00
24,5.46,5.44,4.05
25,4.02,5.97,3.99
26,4.04,4.02,4.00
27,4.14,4.12,4.10
28,4.33,4.31,4.29
29,4.59,4.57,4.56
30,4.94,4.92,4.91
31,5.39,5.37,3.88
32,3.87,5.91,3.83
33,3.89,3.87,3.86
34,4.01,3.98,3.97
35,4.20,4.18,4.16
36,4.48,4.46,4.44
37,4.84,4.83,4.81
38,5.30,5.28,3.48
39,3.82,5.85,3.73
40,3.81,4.23,3.77
41,3.93,3.91,3.90
42,4.13,4.11,4.09
43,4.42,4.40,4.39
44,4.81,4.78,4.77
45,5.27,5.25,5.24
46,5.86,5.84,3.62
47,3.71,6.52,3.68
48,3.85,3.83,3.81
49,4.07,4.04,4.03
50,4.37,4.35,4.33
51,4.77,4.74,4.73
52,5.26,5.24,5.23
53,5.86,5.84,3.58
54,3.67,6.55,3.64
55,3.82,3.80,3.79
56,4.05,4.03,4.03
57,4.38,4.36,4.34
58,4.79,4.77,4.76
59,5.32,5.30,5.28
60,5.94,5.92,3.51
61,3.62,6.66,3.59
62,3.78,3.76,3.75
63,4.03,4.01,4.00
64,4.37,4.35,4.34
65,4.80,4.78,4.77
66,5.35,5.33,5.33
67,6.00,5.99,4.24
68,4.84,6.74,3.60
69,3.79,5.53,3.77
70,4.06,4.04,4.03
71,4.42,4.40,4.39
72,4.87,4.85,4.84
73,5.43,5.41,5.40
74,6.12,6.09,6.09
75,6.92,6.89,3.57
76,3.79,7.82,3.76
77,4.07,4.05,4.05
78,4.44,4.42,4.42
79,4.92,4.90,4.89
80,5.51,5.48,5.48
81,6.22,6.19,6.19
82,7.05,7.02,3.60
83,3.84,7.98,3.81
84,4.13,4.11,4.11
85,4.53,4.51,4.50
86,5.04,5.01,5.00
87,5.64,5.61,5.61
88,6.37,6.35,6.34
89,7.24,7.20,3.61
90,3.86,8.20,3.83
91,4.18,4.15,4.15
92,4.59,4.57,4.56
93,5.11,5.09,5.09
94,5.75,5.72,5.72
95,6.51,6.48,6.48
96,7.39,7.37,6.00
97,6.97,8.40,3.91
98,4.27,8.02,4.24
99,4.71,4.68,4.68
