Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,4.96,4.95
1,5.16,5.15
2,5.46,4.93
3,5.83,4.69
4,3.45,4.56
5,6.87,4.52
6,6.12,4.58
7,5.53,4.71
8,5.06,4.91
9,4.73,3.51
10,4.50,4.49
11,4.38,4.37
12,4.35,4.34
13,4.41,4.40
14,4.54,4.54
15,4.77,4.76
16,5.07,5.06
17,5.46,4.27
18,5.95,4.16
19,6.22,4.15
20,5.54,4.21
21,4.99,4.35
22,4.59,4.58
23,4.29,4.90
24,4.10,4.10
25,4.01,4.00
26,4.01,4.00
27,4.09,4.08
28,4.25,4.24
29,4.49,4.48
30,4.82,4.80
31,5.23,3.92
32,5.74,3.84
33,3.40,3.85
34,5.04,3.94
35,4.57,4.11
36,4.22,4.36
37,3.96,4.70
38,3.81,3.43
39,3.74,3.74
40,3.76,3.75
41,3.86,3.85
42,4.04,4.03
43,4.30,4.30
44,4.66,4.65
45,5.10,5.09
46,5.65,3.62
47,6.31,3.65
48,4.69,3.76
49,4.27,3.96
50,3.95,4.24
51,3.74,4.61
52,3.61,5.07
53,3.58,3.57
54,3.62,3.61
55,3.75,3.74
56,3.95,3.94
57,4.24,4.23
58,4.63,4.62
59,5.12,5.10
60,5.71,3.49
61,6.42,3.55
62,4.32,3.69
63,4.05,3.91
64,3.78,4.22
65,3.59,4.63
66,3.50,5.13
67,3.48,4.10
68,3.55,3.54
69,3.70,3.69
70,3.95,3.93
71,4.26,4.26
72,4.69,4.68
73,5.22,5.21
74,5.86,5.85
75,6.63,3.51
76,7.52,3.68
77,3.92,3.94
78,3.66,4.28
79,3.51,4.73
80,3.44,5.28
81,3.45,5.95
82,3.54,3.53
83,3.72,3.71
84,4.00,3.98
85,4.37,4.35
86,4.83,4.81
87,5.41,5.39
88,6.10,6.08
89,6.92,3.53
90,7.88,3.73
91,6.49,4.02
92,3.62,4.40
93,3.49,4.89
94,3.44,5.48
95,3.47,6.20
96,3.60,5.74
97,3.81,3.79
98,4.11,4.09
99,4.52,4.50
