Step(mm),提案手法(L: 黒 R: 白)
0,4.80
1,4.84
2,4.96
3,5.17
4,5.45
5,5.82
6,6.27
7,6.90
8,6.14
9,5.54
10,5.07
11,4.73
12,4.51
13,4.38
14,4.34
15,4.40
16,4.53
17,4.75
18,5.06
19,5.45
20,5.93
21,6.23
22,5.54
23,5.00
24,4.58
25,4.29
26,4.10
27,4.01
28,4.00
29,4.07
30,4.22
31,4.46
32,4.79
33,5.20
34,5.71
35,6.33
36,5.03
37,4.56
38,4.20
39,3.94
40,3.79
41,3.72
42,3.74
43,3.84
44,4.01
45,4.28
46,4.62
47,5.06
48,5.61
49,6.26
50,4.66
51,4.23
52,3.92
53,3.71
54,3.59
55,3.55
56,3.59
57,3.71
58,3.92
59,4.22
60,4.61
61,5.09
62,5.69
63,6.38
64,7.21
65,4.01
66,3.73
67,3.55
68,3.46
69,3.45
70,3.52
71,3.67
72,3.90
73,4.23
74,4.66
75,5.18
76,5.83
77,6.58
78,7.48
79,3.87
80,3.62
81,3.47
82,3.39
83,3.41
84,3.50
85,3.69
86,3.96
87,4.33
88,4.79
89,5.37
90,6.07
91,6.89
92,7.84
93,8.94
94,3.58
95,3.45
96,3.40
97,3.44
98,3.56
99,3.77
