Step(mm),提案手法1(L: 黒 R: 白),提案手法2(L: 黒 R: 白),提案手法3(L: 黒 R: 白),提案手法4(L: 黒 R: 白),提案手法5(L: 黒 R: 白),提案手法7(L: 黒 R: 白)
0,4.95,4.86,4.85,4.87,4.94,4.97
1,5.08,4.99,4.99,5.00,4.14,5.10
2,5.30,5.21,5.20,5.23,11.54,5.32
3,5.60,5.51,5.50,5.53,10.14,3.62
4,5.99,5.90,5.89,5.91,8.89,8.94
5,6.46,6.37,6.36,3.43,7.82,7.87
6,7.02,6.94,3.48,6.80,6.91,6.96
7,3.63,7.61,6.03,6.07,6.17,6.21
8,5.54,3.87,5.45,5.48,5.58,5.62
9,5.09,5.01,5.01,5.03,5.12,5.14
10,4.76,4.69,4.69,4.72,4.80,4.82
11,4.55,4.48,4.48,4.51,4.58,4.60
12,4.44,4.37,4.38,4.40,4.47,4.49
13,4.42,4.36,4.36,4.38,4.45,4.47
14,4.49,4.43,4.43,4.45,4.51,4.54
15,4.65,4.58,4.58,4.60,4.67,4.69
16,4.88,4.81,4.81,4.83,10.57,4.91
17,5.20,5.13,5.12,5.15,9.24,5.23
18,5.60,5.53,5.53,5.55,8.07,8.10
19,6.10,6.04,6.03,6.06,7.08,7.12
20,6.71,6.64,6.64,6.16,6.25,6.28
21,7.42,7.35,5.45,5.48,5.58,5.60
22,4.99,8.17,4.94,4.96,5.04,5.07
23,4.59,4.53,4.54,4.57,4.64,4.66
24,4.31,4.25,4.27,4.29,4.36,4.37
25,4.13,4.08,4.09,4.12,4.18,4.19
26,4.05,4.00,4.00,4.03,4.09,4.10
27,4.06,4.01,4.01,4.03,4.10,4.10
28,4.15,4.10,4.10,4.12,4.19,4.20
29,4.32,4.27,4.28,4.29,4.36,4.37
30,4.58,4.53,4.53,4.55,3.18,4.62
31,4.92,4.87,4.87,4.89,8.40,4.97
32,5.36,5.30,5.31,5.33,7.33,3.13
33,5.89,5.84,5.84,5.86,6.43,6.44
34,6.53,6.47,6.48,3.44,5.68,5.69
35,7.28,7.22,3.74,5.00,5.08,5.08
36,4.16,8.08,4.51,4.54,4.61,4.61
37,4.20,4.69,4.17,4.19,4.26,4.26
38,3.96,3.93,3.93,3.96,4.02,4.02
39,3.82,3.78,3.79,3.82,3.88,3.87
40,3.77,3.74,3.74,3.77,3.82,3.82
41,3.80,3.77,3.78,3.79,3.85,3.85
42,3.92,3.88,3.88,3.91,3.97,3.96
43,4.11,4.08,4.08,4.10,4.16,4.16
44,4.39,4.36,4.36,4.38,4.45,4.44
45,4.77,4.73,4.74,4.75,7.71,4.81
46,5.23,5.19,5.19,5.21,6.74,5.27
47,5.80,5.75,5.76,5.78,5.93,5.91
48,6.47,6.43,6.43,6.46,5.25,5.23
49,7.27,7.23,7.23,4.64,4.72,4.70
50,8.20,8.15,4.20,4.23,4.30,4.29
51,3.93,9.21,3.92,3.94,4.01,3.99
52,3.74,3.71,3.72,3.74,3.80,3.79
53,3.63,3.60,3.61,3.63,3.69,3.67
54,3.60,3.58,3.59,3.61,3.66,3.65
55,3.66,3.63,3.64,3.66,3.72,3.71
56,3.80,3.77,3.77,3.80,3.86,3.84
57,4.02,3.99,4.00,4.02,4.08,4.06
58,4.33,4.30,4.31,4.33,4.40,4.38
59,4.74,4.71,4.72,4.74,3.10,4.78
60,5.25,5.22,5.22,5.25,6.30,5.30
61,5.87,5.83,5.84,5.87,5.55,3.57
62,6.59,6.56,6.57,6.60,4.95,4.92
63,7.45,7.41,7.42,4.44,4.46,4.43
64,8.43,8.40,5.07,4.04,4.10,4.07
65,5.85,9.53,3.75,3.77,3.83,3.81
66,3.58,6.75,3.58,3.60,3.66,3.63
67,3.51,3.48,3.49,3.52,3.57,3.55
68,3.50,3.48,3.49,3.52,3.57,3.55
69,3.59,3.57,3.58,3.60,3.66,3.63
70,3.76,3.74,3.75,3.77,3.83,3.80
71,4.01,3.99,4.00,4.03,4.09,4.06
72,4.36,4.34,4.35,4.38,4.44,4.40
73,4.81,4.79,4.80,4.83,4.89,4.86
74,5.38,5.34,5.35,5.38,5.95,5.41
75,6.03,6.01,6.02,6.05,5.27,6.08
76,6.80,6.77,6.78,6.82,4.72,4.68
77,7.72,7.69,7.70,7.73,4.29,4.24
78,8.77,8.75,8.75,3.90,3.96,3.91
79,9.98,9.95,3.64,3.67,3.72,3.68
80,3.50,11.31,3.49,3.52,3.58,3.54
81,3.43,3.43,3.44,3.46,3.52,3.48
82,3.47,3.46,3.46,3.49,3.54,3.50
83,3.58,3.57,3.57,3.60,3.66,3.62
84,3.78,3.77,3.77,3.80,3.86,3.82
85,4.07,4.06,4.07,4.10,4.16,4.11
86,4.45,4.44,4.45,4.48,4.54,4.50
87,4.94,4.93,4.94,4.97,5.04,4.99
88,5.54,5.52,5.54,5.58,3.97,5.60
89,6.27,6.24,6.25,6.30,5.09,6.31
90,7.11,7.09,7.11,7.15,4.59,5.07
91,8.10,8.08,8.09,8.14,4.19,4.14
92,9.23,9.21,9.23,6.77,3.90,3.84
93,10.52,10.50,7.81,3.63,3.69,3.64
94,9.07,11.94,3.48,3.51,3.57,3.52
95,3.45,10.47,3.45,3.48,3.53,3.49
96,3.50,3.48,3.50,3.53,3.59,3.54
97,3.64,3.62,3.64,3.67,3.73,3.68
98,3.87,3.85,3.87,3.90,3.96,3.91
99,4.19,4.18,4.20,4.23,4.29,4.24
