Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,4.82,4.78
1,4.78,4.74
2,4.82,4.79
3,4.95,4.92
4,5.17,5.19
5,5.47,4.85
6,3.43,4.63
7,7.66,4.51
8,6.76,4.48
9,6.03,4.54
10,5.45,4.68
11,5.00,3.43
12,4.68,4.64
13,4.46,4.43
14,4.35,4.32
15,4.33,4.30
16,4.39,4.37
17,4.54,4.51
18,4.77,4.74
19,5.08,4.40
20,5.48,4.21
21,6.94,4.11
22,6.12,4.10
23,5.45,4.18
24,4.93,4.34
25,4.53,4.57
26,4.25,4.23
27,4.08,4.05
28,3.98,3.97
29,3.99,3.97
30,4.07,4.05
31,4.23,4.21
32,4.47,4.46
33,4.81,4.03
34,5.24,3.87
35,3.22,3.80
36,5.57,3.82
37,4.97,3.91
38,4.50,4.09
39,4.16,4.35
40,3.92,3.22
41,3.78,3.76
42,3.71,3.70
43,3.74,3.73
44,3.85,3.83
45,4.02,4.01
46,4.30,4.29
47,4.66,4.65
48,5.12,3.63
49,5.67,3.58
50,5.15,3.62
51,4.61,3.74
52,4.20,3.94
53,3.90,4.23
54,3.69,4.60
55,3.57,3.57
56,3.54,3.54
57,3.59,3.58
58,3.72,3.72
59,3.94,3.93
60,4.24,4.23
61,4.63,4.63
62,5.13,3.48
63,5.73,3.46
64,3.93,3.53
65,4.36,3.68
66,3.99,3.90
67,3.73,4.22
68,3.55,4.64
69,3.46,3.73
70,3.45,3.45
71,3.52,3.52
72,3.68,3.68
73,3.92,3.92
74,4.26,4.26
75,4.69,4.69
76,5.23,5.23
77,5.88,3.41
78,6.65,3.50
79,4.18,3.67
80,3.85,3.93
81,3.61,4.29
82,3.46,4.73
83,3.40,5.29
84,3.41,3.42
85,3.51,3.52
86,3.70,3.71
87,3.98,3.99
88,4.35,4.36
89,4.83,4.84
90,5.42,5.42
91,6.11,3.41
92,6.94,3.53
93,5.79,3.73
94,3.78,4.02
95,3.57,4.41
96,3.45,4.91
97,3.40,5.51
98,3.44,5.12
99,3.57,3.58
