Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,5.94,5.11
1,5.85,5.10
2,5.74,5.09
3,5.64,5.09
4,5.51,5.08
5,5.41,5.07
6,5.30,5.05
7,5.20,5.02
8,5.11,4.99
9,5.00,4.93
10,4.90,4.87
11,4.81,4.80
12,4.73,4.76
13,4.63,4.70
14,4.55,4.64
15,4.46,4.57
16,4.39,4.51
17,4.32,4.47
18,4.24,4.42
19,4.18,4.38
20,4.11,4.36
21,4.05,4.34
22,3.99,4.35
23,3.93,4.36
24,3.88,4.39
25,3.83,4.44
26,3.78,4.51
27,3.75,4.63
28,3.71,4.74
29,3.69,4.73
30,3.67,4.62
31,3.65,4.53
32,3.64,4.47
33,3.65,4.46
34,3.68,4.38
35,3.73,4.26
36,3.85,4.15
37,4.07,4.03
38,4.69,3.92
39,7.03,3.82
40,6.88,3.72
41,6.71,3.63
42,7.24,3.54
43,7.32,3.44
44,7.19,3.37
45,7.02,3.29
46,6.83,3.22
47,6.63,3.17
48,6.43,3.42
49,6.25,3.66
50,6.05,3.79
51,5.87,3.86
52,5.70,3.98
53,5.53,4.05
54,5.36,4.08
55,5.21,4.06
56,5.06,4.04
57,4.91,3.98
58,4.77,3.92
59,4.63,3.85
60,4.51,3.78
61,4.39,3.72
62,4.28,3.65
63,4.18,3.57
64,4.07,3.54
65,3.97,3.54
66,3.88,3.58
67,3.79,3.62
68,3.71,3.68
69,3.64,3.74
70,3.57,3.78
71,3.50,3.80
72,3.45,3.81
73,3.46,3.81
74,3.56,3.79
75,3.73,3.77
76,3.91,3.73
77,4.10,3.69
78,4.26,3.66
79,4.38,3.63
80,4.48,3.62
81,4.56,3.62
82,4.61,3.64
83,4.64,3.70
84,4.64,3.74
85,4.67,3.76
86,4.65,3.80
87,4.62,3.81
88,4.61,3.82
89,4.57,3.81
90,4.55,3.81
91,4.51,3.79
92,4.47,3.78
93,4.42,3.76
94,4.39,3.75
95,4.35,3.77
96,4.31,3.80
97,4.27,3.85
98,4.25,3.89
99,4.21,3.92
