Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白),提案手法(L: 黒 R: 白)#奥行,西村式(L: 黒 R: 白)#奥行
0,4.68,,3.99,3.82
1,4.72,,4.01,3.79
2,4.86,,4.02,3.76
3,5.06,,4.05,3.72
4,5.35,,4.08,3.67
5,3.44,,4.10,3.64
6,7.58,,4.15,3.61
7,6.68,,4.19,3.58
8,5.94,,4.25,3.56
9,5.35,,4.31,3.54
10,4.90,,4.38,3.53
11,4.58,,4.46,3.52
12,4.38,,4.53,3.52
13,4.27,,4.58,3.52
14,4.24,,4.58,3.53
15,4.31,,4.56,3.56
16,4.46,,4.53,3.60
17,4.70,,4.51,3.63
18,5.00,,4.49,3.68
19,5.41,,4.48,3.74
20,6.78,,4.48,3.78
21,5.96,,4.50,3.77
22,5.31,,4.53,3.76
23,4.80,,4.57,3.73
24,4.41,,4.63,3.66
25,4.14,,4.72,3.58
26,3.97,,4.86,3.51
27,3.90,,5.05,3.44
28,3.91,,5.29,3.38
29,4.00,,5.42,3.31
30,4.17,,5.32,3.25
31,4.43,,5.22,3.20
32,4.77,,5.13,3.15
33,5.20,,5.03,3.10
34,3.23,,4.94,3.05
35,5.38,,4.86,3.00
36,4.80,,4.79,2.96
37,4.36,,4.71,2.92
38,4.04,,4.63,2.96
39,3.81,,4.57,3.56
40,3.69,,4.51,3.48
41,3.64,,4.46,3.40
42,3.68,,4.40,3.84
43,3.80,,4.36,4.09
44,4.00,,4.33,4.13
45,4.28,,4.28,4.12
46,4.66,,4.25,4.08
47,5.13,,4.22,4.02
48,5.71,,4.19,3.96
49,4.92,,4.18,3.90
50,4.42,,4.16,3.84
51,4.04,,4.15,3.77
52,3.77,,4.35,3.72
53,3.59,,4.56,3.67
54,3.49,,4.70,3.62
55,3.48,,4.77,3.57
56,3.55,,4.80,3.53
57,3.70,,4.81,3.54
58,3.94,,4.80,3.59
59,4.26,,4.77,3.70
60,4.67,,4.73,3.83
61,5.20,,4.69,3.93
62,5.83,,4.64,4.01
63,4.02,,4.60,4.06
64,4.15,,4.67,4.08
65,3.82,,4.86,4.09
66,3.59,,5.06,4.10
67,3.44,,5.26,4.09
68,3.38,,5.43,4.08
69,3.40,,5.55,4.06
70,3.50,,5.66,4.04
71,3.69,,5.74,4.03
72,3.96,,5.80,4.01
73,4.32,,5.84,4.02
74,4.80,,5.86,4.07
75,5.37,,5.89,4.16
76,6.05,,5.91,4.25
77,6.86,,5.92,4.33
78,3.96,,5.92,4.41
79,3.67,,5.92,4.46
80,3.47,,5.92,4.51
81,3.35,,5.93,4.53
82,3.32,,5.94,4.57
83,3.37,,5.97,4.58
84,3.51,,6.03,4.57
85,3.73,,6.06,4.59
86,4.04,,6.09,4.59
87,4.45,,6.14,4.60
88,4.98,,6.18,4.64
89,5.61,,6.21,4.70
90,6.36,,6.21,4.78
91,7.25,,6.25,4.86
92,6.06,,6.30,4.95
93,3.59,,6.38,5.01
94,3.42,,6.49,5.06
95,3.34,,6.63,5.12
96,3.33,,6.77,5.17
97,3.41,,6.94,5.22
98,3.58,,7.10,5.26
99,3.84,,7.26,5.29
