Step(mm),提案手法(L: 黒 R: 白)#アイトラッキングなし,西村式(L: 黒 R: 白)#アイトラッキングなし
0,12.40,12.48
1,10.82,10.88
2,9.40,9.47
3,8.19,8.25
4,7.14,7.18
5,6.27,6.31
6,5.56,5.59
7,5.01,5.03
8,4.57,4.60
9,4.27,4.28
10,4.07,4.08
11,3.95,3.96
12,3.92,3.94
13,3.98,3.99
14,4.11,4.12
15,4.32,4.33
16,4.62,4.62
17,5.00,5.01
18,5.48,5.49
19,6.06,6.07
20,6.74,6.75
21,7.54,7.54
22,8.47,8.47
23,9.52,9.52
24,10.71,10.71
25,12.07,12.05
26,13.57,13.56
27,15.23,15.23
28,17.07,17.06
29,19.08,19.07
30,21.27,21.27
31,23.64,23.62
32,26.18,26.17
33,28.87,28.87
34,31.70,31.71
35,34.70,34.70
36,37.80,37.80
37,40.98,40.98
38,44.27,44.26
39,47.57,47.60
40,50.92,50.91
41,54.26,54.27
42,57.53,57.55
43,60.80,60.80
44,63.99,63.98
45,67.08,67.10
46,70.12,70.08
47,72.97,72.99
48,75.69,75.70
49,78.32,78.32
50,80.76,80.79
51,82.99,83.03
52,85.12,85.12
53,87.01,87.05
54,88.71,88.75
55,90.18,90.26
56,91.53,91.56
57,92.64,92.64
58,93.55,93.59
59,94.39,94.38
60,94.98,95.01
61,95.50,95.52
62,95.90,95.89
63,96.19,96.16
64,96.38,96.35
65,96.51,96.52
66,96.50,96.57
67,96.48,96.52
68,96.39,96.37
69,96.18,96.20
70,95.88,95.91
71,95.55,95.55
72,95.07,95.08
73,94.47,94.47
74,93.76,93.79
75,92.98,92.97
76,91.98,92.05
77,90.93,90.96
78,89.69,89.73
79,88.35,88.34
80,86.76,86.77
81,85.04,85.03
82,83.12,83.12
83,81.01,81.02
84,78.76,78.75
85,76.25,76.31
86,73.59,73.69
87,70.82,70.86
88,67.97,67.94
89,64.89,64.88
90,61.72,61.74
91,58.49,58.55
92,55.24,55.26
93,51.94,51.95
94,48.67,48.65
95,45.38,45.35
96,42.16,42.16
97,38.97,38.97
98,35.85,35.86
99,32.82,32.84
