Step(mm),柳田式（L: 黒 R: 白),柳田式（L: 黒 R: 白)#アイトラッキング,堀式（L: 黒 R: 白）,堀式（L: 黒 R: 白）#アイトラッキング
0,0.79,0.79,3.95,3.96
1,0.83,0.79,4.14,4.03
2,0.88,0.80,4.41,3.95
3,0.96,0.81,4.76,3.70
4,1.05,0.83,5.21,3.30
5,1.17,0.83,5.75,3.20
6,1.33,0.82,6.40,3.59
7,1.52,0.81,7.15,3.84
8,1.76,0.81,8.02,3.95
9,2.06,0.82,9.03,3.92
10,2.44,0.83,10.16,3.72
11,2.93,0.84,11.47,3.37
12,3.54,0.86,12.92,3.05
13,4.33,0.86,14.53,3.44
14,5.33,0.85,16.32,3.74
15,6.57,0.84,18.32,3.90
16,8.18,0.85,20.47,3.92
17,10.18,0.86,22.83,3.76
18,12.67,0.87,25.38,3.45
19,15.73,0.88,28.09,3.01
20,19.42,0.90,31.02,3.33
21,23.79,0.90,34.10,3.67
22,28.83,0.90,37.25,3.87
23,34.51,0.89,40.62,3.94
24,40.65,0.90,44.01,3.83
25,47.14,0.91,47.46,3.56
26,53.81,0.93,51.00,3.14
27,60.31,0.95,54.51,3.23
28,66.52,0.97,57.97,3.60
29,72.19,0.97,61.43,3.84
30,77.20,0.96,64.81,3.96
31,81.48,0.96,68.07,3.92
32,84.98,0.97,71.17,3.69
33,88.03,0.99,74.11,3.29
34,90.34,1.01,76.92,3.16
35,92.23,1.03,79.51,3.58
36,93.66,1.06,81.96,3.87
37,94.85,1.06,84.23,4.04
38,95.80,1.05,86.30,4.05
39,96.48,1.05,88.08,3.86
40,97.18,1.07,89.70,3.48
41,97.60,1.09,91.08,3.13
42,97.95,1.11,92.30,3.56
43,98.25,1.14,93.26,3.90
44,98.50,1.17,94.14,4.11
45,98.65,1.16,94.87,4.17
46,98.83,1.16,95.53,4.03
47,99.00,1.17,95.98,3.69
48,99.05,1.19,96.36,3.21
49,99.18,1.22,96.65,3.56
50,99.22,1.25,96.85,3.96
51,99.22,1.28,96.95,4.22
52,99.23,1.31,97.00,4.34
53,99.30,1.30,96.96,4.25
54,99.26,1.30,96.85,3.96
55,99.21,1.32,96.69,3.48
56,99.21,1.35,96.40,3.59
57,99.14,1.38,96.10,4.03
58,99.05,1.42,95.67,4.34
59,99.04,1.46,95.24,4.51
60,98.92,1.48,94.58,4.47
61,98.80,1.47,93.82,4.22
62,98.65,1.48,93.04,3.75
63,98.39,1.50,92.02,3.60
64,98.20,1.54,90.90,4.11
65,97.88,1.58,89.61,4.47
66,97.51,1.62,88.21,4.70
67,97.08,1.67,86.45,4.73
68,96.41,1.69,84.60,4.53
69,95.65,1.69,82.56,4.09
70,94.65,1.70,80.31,3.65
71,93.30,1.74,77.84,4.21
72,91.65,1.78,75.25,4.64
73,89.39,1.83,72.35,4.92
74,86.55,1.88,69.36,5.02
75,82.82,1.94,66.18,4.85
76,78.17,1.96,62.82,4.45
77,72.55,1.96,59.39,3.85
78,65.94,1.98,55.91,4.30
79,58.50,2.03,52.33,4.81
80,50.58,2.08,48.67,5.15
81,42.62,2.14,45.18,5.31
82,35.09,2.20,41.57,5.21
83,28.38,2.27,38.20,4.86
84,22.60,2.29,34.87,4.28
85,17.86,2.30,31.68,4.41
86,14.02,2.34,28.67,5.00
87,11.03,2.40,25.83,5.40
88,8.65,2.46,23.16,5.62
89,6.80,2.52,20.69,5.59
90,5.38,2.60,18.45,5.27
91,4.27,2.69,16.39,4.71
92,3.41,2.71,14.52,4.51
93,2.75,2.73,12.82,5.20
94,2.23,2.79,11.32,5.69
95,1.84,2.87,9.99,5.99
96,1.55,2.94,8.81,6.02
97,1.31,3.02,7.77,5.78
98,1.14,3.12,6.86,5.24
99,1.00,3.22,6.07,4.65
