Step(mm),柳田式（L: 黒 R: 白),柳田式（L: 黒 R: 白)#アイトラッキング
0,0.79,0.79
1,0.83,0.79
2,0.88,0.80
3,0.96,0.81
4,1.05,0.83
5,1.17,0.83
6,1.33,0.82
7,1.52,0.81
8,1.76,0.81
9,2.06,0.82
10,2.44,0.83
11,2.93,0.84
12,3.54,0.86
13,4.33,0.86
14,5.33,0.85
15,6.57,0.84
16,8.18,0.85
17,10.18,0.86
18,12.67,0.87
19,15.73,0.88
20,19.42,0.90
21,23.79,0.90
22,28.83,0.90
23,34.51,0.89
24,40.65,0.90
25,47.14,0.91
26,53.81,0.93
27,60.31,0.95
28,66.52,0.97
29,72.19,0.97
30,77.20,0.96
31,81.48,0.96
32,84.98,0.97
33,88.03,0.99
34,90.34,1.01
35,92.23,1.03
36,93.66,1.06
37,94.85,1.06
38,95.80,1.05
39,96.48,1.05
40,97.18,1.07
41,97.60,1.09
42,97.95,1.11
43,98.25,1.14
44,98.50,1.17
45,98.65,1.16
46,98.83,1.16
47,99.00,1.17
48,99.05,1.19
49,99.18,1.22
50,99.22,1.25
51,99.22,1.28
52,99.23,1.31
53,99.30,1.30
54,99.26,1.30
55,99.21,1.32
56,99.21,1.35
57,99.14,1.38
58,99.05,1.42
59,99.04,1.46
60,98.92,1.48
61,98.80,1.47
62,98.65,1.48
63,98.39,1.50
64,98.20,1.54
65,97.88,1.58
66,97.51,1.62
67,97.08,1.67
68,96.41,1.69
69,95.65,1.69
70,94.65,1.70
71,93.30,1.74
72,91.65,1.78
73,89.39,1.83
74,86.55,1.88
75,82.82,1.94
76,78.17,1.96
77,72.55,1.96
78,65.94,1.98
79,58.50,2.03
80,50.58,2.08
81,42.62,2.14
82,35.09,2.20
83,28.38,2.27
84,22.60,2.29
85,17.86,2.30
86,14.02,2.34
87,11.03,2.40
88,8.65,2.46
89,6.80,2.52
90,5.38,2.60
91,4.27,2.69
92,3.41,2.71
93,2.75,2.73
94,2.23,2.79
95,1.84,2.87
96,1.55,2.94
97,1.31,3.02
98,1.14,3.12
99,1.00,3.22
