Step,Luminance
0,73.26
1,73.66
2,69.21
3,64.88
4,60.62
5,56.49
6,52.56
7,49.51
8,45.08
9,41.63
10,38.41
11,35.47
12,32.77
13,30.39
14,28.29
15,26.49
16,24.94
17,23.64
18,22.57
19,21.70
20,21.01
21,20.47
22,20.04
23,19.73
24,19.52
25,19.40
26,19.37
27,19.45
28,19.63
29,19.91
30,20.31
31,20.66
32,21.42
33,22.37
34,23.40
35,24.64
36,25.66
37,27.16
38,28.66
39,32.21
40,34.88
41,37.85
42,41.15
43,44.85
44,48.85
45,53.18
46,57.83
47,62.79
48,68.05
49,73.47
50,79.09
51,84.91
52,90.82
53,96.81
54,102.83
55,108.83
56,114.75
57,120.51
58,126.21
59,131.75
60,137.08
61,142.14
62,146.96
63,151.53
64,155.80
65,159.76
66,163.28
67,166.46
68,169.30
69,171.78
70,173.91
71,175.60
72,177.19
73,178.40
74,179.39
75,180.17
76,180.75
77,181.19
78,181.54
79,181.81
80,181.91
81,181.98
82,181.89
83,181.70
84,181.37
85,180.94
86,180.37
87,179.68
88,178.73
89,177.66
90,176.24
91,174.69
92,172.74
93,170.59
94,168.74
95,165.19
96,161.99
97,158.27
98,154.95
99,150.08
100,145.54
101,141.30
102,135.53
103,130.06
104,125.50
105,118.76
106,112.89
107,106.93
108,100.94
109,95.66
110,89.01
111,83.24
112,77.49
113,72.59
114,66.56
115,61.43
116,56.52
117,52.44
118,48.40
119,43.53
120,39.93
121,36.64
122,33.71
123,31.12
124,28.87
125,27.16
126,25.77
127,24.34
128,22.80
129,21.87
130,21.26
131,20.70
132,20.15
133,19.55
134,19.25
135,19.10
136,18.99
137,18.96
138,19.04
139,19.17
140,19.47
141,19.87
142,20.45
143,20.85
144,22.18
145,23.29
146,24.21
147,25.94
148,27.72
149,29.78
