Step,Luminance
0,103.12
1,103.21
2,108.20
3,113.12
4,117.96
5,122.62
6,127.11
7,131.52
8,135.64
9,139.59
10,143.35
11,146.87
12,149.99
13,152.84
14,155.37
15,157.63
16,159.66
17,161.40
18,162.90
19,164.14
20,165.27
21,166.19
22,166.99
23,167.67
24,168.21
25,168.72
26,169.12
27,169.38
28,169.50
29,169.61
30,169.52
31,169.30
32,168.93
33,168.39
34,167.65
35,166.72
36,165.54
37,164.10
38,162.43
39,160.42
40,158.10
41,155.48
42,152.48
43,149.15
44,145.42
45,141.47
46,137.16
47,132.56
48,127.67
49,122.55
50,117.26
51,111.78
52,106.24
53,100.63
54,94.97
55,89.23
56,83.61
57,78.12
58,72.79
59,67.56
60,62.52
61,57.65
62,53.04
63,48.68
64,44.62
65,40.87
66,37.47
67,34.45
68,31.74
69,29.38
70,27.34
71,25.63
72,24.19
73,23.00
74,22.01
75,21.23
76,20.59
77,20.10
78,19.71
79,19.44
80,19.27
81,19.18
82,19.20
83,19.32
84,19.55
85,19.90
86,20.39
87,21.04
88,21.85
89,22.88
90,24.12
91,25.63
92,27.42
93,29.51
94,31.92
95,34.68
96,37.80
97,41.27
98,45.10
99,49.21
100,53.70
101,58.45
102,63.43
103,68.69
104,74.14
105,79.80
106,85.53
107,91.37
108,97.14
109,103.01
110,108.70
111,114.33
112,119.83
113,125.27
114,130.41
115,135.38
116,140.07
117,144.41
118,148.52
119,152.18
120,155.51
121,158.43
122,161.19
123,163.31
124,165.27
125,166.80
126,168.13
127,169.04
128,169.91
129,170.52
130,170.78
131,171.10
132,171.13
133,171.12
134,170.98
135,170.74
136,170.33
137,169.95
138,169.33
139,168.81
140,168.06
141,167.11
142,166.17
143,164.93
144,163.62
145,161.92
146,160.21
147,158.08
148,155.80
149,153.08
