Step(mm),西村式(L: 白 R: 黒),西村式(L: 黒 R: 白）,増谷式(L: 白 R: 黒),増谷式(L: 黒 R: 白)
0,102.43,73.28,139.68,36.46
1,102.55,73.66,140.16,36.48
2,107.56,69.20,142.02,36.47
3,112.53,64.83,143.64,35.51
4,117.39,60.57,145.78,34.79
5,122.09,56.43,148.36,33.19
6,126.74,52.47,150.67,30.85
7,131.16,48.64,152.44,28.87
8,135.39,44.95,154.11,27.59
9,139.40,41.50,155.81,26.37
10,143.11,38.29,156.97,25.25
11,146.60,35.32,158.36,24.23
12,149.77,32.66,160.14,23.28
13,152.62,30.27,161.43,22.43
14,155.25,28.17,162.41,21.66
15,157.57,26.38,163.40,21.01
16,159.55,24.84,164.31,20.55
17,161.29,23.56,165.15,20.02
18,162.83,22.50,166.10,19.55
19,164.06,21.64,166.78,19.24
20,165.25,20.95,167.25,19.03
21,166.18,20.40,167.74,18.92
22,166.96,19.97,168.08,18.87
23,167.72,19.65,168.34,18.91
24,168.30,19.43,168.51,19.05
25,168.83,19.30,168.56,19.29
26,169.23,19.27,168.53,19.62
27,169.49,19.32,168.44,20.08
28,169.73,19.48,168.20,20.69
29,169.80,19.75,167.74,21.46
30,169.73,20.12,166.57,22.17
31,169.61,20.63,165.63,23.29
32,169.40,21.27,164.51,24.94
33,168.94,22.08,163.03,26.56
34,168.24,23.07,161.21,28.45
35,167.35,24.27,161.04,30.12
36,166.29,25.69,158.95,32.36
37,164.90,27.40,156.56,34.16
38,163.23,29.36,153.85,38.79
39,161.32,31.66,148.30,42.15
40,159.07,34.27,144.32,45.79
41,156.48,37.21,140.51,48.71
42,153.52,40.50,136.85,52.98
43,150.17,44.18,132.52,57.19
44,146.51,48.16,128.10,62.67
45,142.52,52.53,122.54,67.59
46,138.19,57.21,118.40,72.44
47,133.54,62.18,113.22,73.35
48,128.64,67.42,108.13,78.69
49,123.47,72.94,106.91,84.12
50,118.20,78.58,101.66,89.70
51,112.67,84.42,93.52,95.29
52,107.07,90.41,86.60,103.14
53,101.37,96.45,81.26,109.21
54,95.70,102.47,76.20,115.79
55,89.98,108.54,71.69,122.28
56,84.33,114.47,66.55,127.23
57,78.75,120.36,62.73,132.40
58,73.35,126.14,58.81,137.11
59,68.03,131.77,53.52,138.26
60,62.90,137.17,49.93,142.79
61,57.99,142.36,46.28,147.14
62,53.27,147.27,43.23,153.10
63,48.88,151.87,41.09,157.72
64,44.74,156.20,37.36,158.23
65,40.95,160.16,36.89,161.29
66,37.51,163.81,34.66,163.93
67,34.43,167.07,32.13,166.40
68,31.69,169.97,31.18,168.41
69,29.33,172.42,29.93,170.11
70,27.30,174.52,29.01,171.48
71,25.59,176.31,28.42,172.42
72,24.16,177.87,28.19,173.07
73,22.98,179.04,28.27,173.29
74,22.01,180.10,28.69,173.22
75,21.23,180.89,29.45,172.88
76,20.60,181.56,30.98,172.23
77,20.09,182.07,31.82,171.19
78,19.70,182.45,33.42,169.87
79,19.41,182.74,35.28,167.34
80,19.22,182.89,37.37,166.37
81,19.13,183.00,39.70,164.32
82,19.14,182.91,42.18,161.96
83,19.24,182.78,44.87,159.40
84,19.46,182.50,47.70,156.71
85,19.78,182.17,50.68,153.92
86,20.24,181.65,53.79,150.87
87,20.85,180.92,56.99,147.67
88,21.64,180.09,60.27,144.47
89,22.63,179.04,63.62,141.14
90,23.84,177.74,67.04,137.75
91,25.31,176.20,70.50,134.30
92,27.06,174.35,74.02,130.74
93,29.13,172.27,77.60,127.21
94,31.52,169.81,81.23,123.60
95,34.27,166.94,84.89,119.90
96,37.41,163.78,88.55,116.21
97,40.90,160.19,92.26,112.50
98,44.74,156.19,95.90,108.66
99,48.93,151.93,99.68,104.91
100,53.48,147.28,103.40,101.16
101,58.31,142.40,107.08,97.32
102,63.45,137.24,110.85,93.52
103,68.81,131.75,114.58,89.78
104,74.40,126.10,118.21,87.62
105,80.12,121.21,121.81,83.04
106,86.01,114.34,125.48,79.67
107,91.93,108.27,129.06,74.84
108,97.89,102.21,132.51,71.14
109,103.87,96.17,135.94,67.56
110,109.76,90.11,139.34,64.00
111,115.50,84.22,142.68,60.48
112,121.23,79.69,145.85,55.30
113,126.75,72.68,148.94,53.75
114,132.05,67.24,151.89,50.49
115,137.24,61.94,154.76,47.36
116,142.01,56.91,157.46,44.35
117,146.37,53.14,159.97,41.46
118,150.56,48.91,162.34,38.72
119,154.44,43.70,164.59,36.12
120,157.86,39.99,166.56,33.68
121,160.96,36.64,168.38,31.44
122,163.83,33.67,169.95,29.37
123,166.12,31.46,171.37,27.51
124,168.02,31.13,172.48,25.85
125,169.64,27.16,173.34,24.40
126,170.92,25.25,174.09,23.17
127,171.93,23.90,174.60,22.10
128,172.74,22.75,174.94,21.24
129,173.34,21.81,175.16,20.53
130,173.70,21.04,175.15,19.97
131,173.93,20.50,175.13,19.67
132,174.04,19.90,174.99,19.52
133,173.99,19.51,174.70,19.21
134,173.93,19.22,174.28,19.06
135,173.72,19.03,173.82,18.98
136,173.36,18.95,173.17,18.89
137,172.95,18.91,172.47,18.83
138,172.46,18.98,171.71,18.87
139,171.81,19.13,170.72,19.01
140,171.11,19.43,169.60,19.24
141,170.28,19.84,168.40,19.58
142,169.36,20.21,166.97,20.02
143,168.15,21.07,165.32,20.65
144,166.85,21.95,163.48,21.38
145,165.31,23.02,161.44,22.32
146,163.57,24.34,159.12,23.41
147,161.55,25.67,156.53,24.74
148,159.21,27.20,153.75,26.17
149,156.58,28.71,150.61,28.19
