Step(mm),提案手法(L: 白 R: 黒),西村式(L: 黒 R: 白)
0,150.20,150.23
1,150.39,150.45
2,150.51,150.47
3,150.42,150.43
4,150.30,151.36
5,150.02,152.00
6,154.03,152.41
7,149.74,152.72
8,151.05,152.79
9,152.12,152.81
10,153.10,152.78
11,153.73,155.24
12,154.28,154.35
13,154.71,154.70
14,154.92,154.93
15,155.08,155.07
16,155.05,155.08
17,154.87,154.90
18,154.65,154.68
19,154.21,156.43
20,153.68,156.72
21,154.33,156.94
22,155.56,157.06
23,156.46,156.89
24,157.17,156.70
25,157.86,156.41
26,158.32,158.40
27,158.71,158.69
28,158.84,158.85
29,158.86,158.89
30,158.76,158.76
31,158.60,158.54
32,158.22,158.20
33,157.72,160.04
34,157.06,160.26
35,161.04,160.38
36,159.27,160.40
37,160.06,160.16
38,160.67,159.92
39,161.18,159.51
40,161.51,161.72
41,161.70,161.65
42,161.68,161.79
43,161.72,161.72
44,161.56,161.50
45,161.15,161.19
46,160.66,160.66
47,160.01,160.01
48,159.21,162.66
49,158.21,162.69
50,161.68,162.47
51,162.25,162.16
52,162.72,161.73
53,163.02,161.22
54,163.21,160.46
55,163.23,163.22
56,163.15,163.11
57,162.91,162.82
58,162.61,162.54
59,162.08,162.03
60,161.45,161.41
61,160.66,160.57
62,159.64,163.37
63,158.48,163.20
64,161.83,162.91
65,162.77,162.42
66,163.05,161.71
67,163.26,161.04
68,163.28,160.17
69,163.15,161.82
70,162.91,162.94
71,162.60,162.61
72,162.11,162.07
73,161.58,161.46
74,160.74,160.70
75,159.77,159.74
76,158.80,158.71
77,157.46,162.55
78,155.94,162.13
79,162.20,161.63
80,162.36,160.88
81,162.52,160.11
82,162.47,159.10
83,162.30,157.93
84,162.03,161.95
85,161.55,161.48
86,161.05,160.97
87,160.24,160.18
88,159.39,159.33
89,158.31,158.18
90,157.13,157.04
91,155.66,161.00
92,154.09,160.60
93,155.92,159.91
94,160.89,159.13
95,160.89,158.16
96,160.79,157.07
97,160.42,155.68
98,160.06,156.24
99,159.44,159.31
