Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,171.66,174.70
1,171.26,174.52
2,170.97,174.21
3,170.60,173.91
4,170.42,173.67
5,169.99,173.31
6,169.65,173.10
7,169.39,172.82
8,169.07,172.38
9,168.88,172.05
10,168.63,171.68
11,168.53,171.31
12,168.23,170.91
13,168.00,170.48
14,167.89,170.14
15,167.72,169.76
16,167.60,169.31
17,167.49,168.88
18,167.31,168.39
19,167.33,167.99
20,167.25,167.53
21,167.44,167.17
22,167.47,166.70
23,167.62,166.36
24,167.80,165.97
25,168.09,165.65
26,168.43,165.44
27,168.42,165.12
28,168.23,164.96
29,167.86,164.80
30,167.55,164.74
31,167.23,164.81
32,166.91,165.05
33,166.62,165.31
34,166.24,165.77
35,165.93,165.77
36,165.58,165.46
37,165.33,165.09
38,164.95,164.80
39,164.67,164.49
40,164.35,164.19
41,163.98,163.80
42,163.64,163.46
43,163.43,163.23
44,163.03,162.83
45,162.70,162.45
46,162.29,161.92
47,161.96,161.47
48,161.58,161.00
49,161.08,160.46
50,160.72,159.94
51,160.22,159.30
52,159.63,158.77
53,158.87,158.09
54,158.29,157.54
55,157.58,156.92
56,156.90,156.20
57,156.11,155.64
58,155.33,155.13
59,154.61,154.83
60,153.82,154.60
61,152.96,154.18
62,152.15,153.92
63,151.27,153.49
64,150.40,153.12
65,149.53,152.74
66,148.64,152.33
67,147.87,151.89
68,146.89,151.40
69,146.07,150.87
70,145.21,150.36
71,144.57,149.87
72,143.90,149.32
73,143.30,148.69
74,142.87,148.11
75,142.47,147.52
76,142.12,147.03
77,141.76,146.48
78,141.35,145.90
79,140.95,145.39
80,140.51,144.81
81,140.07,144.33
82,139.62,143.74
83,139.17,143.34
84,138.71,142.85
85,138.17,142.25
86,137.65,141.68
87,137.12,141.13
88,136.55,140.53
89,135.98,139.95
90,135.39,139.35
91,134.78,138.66
92,134.14,138.06
93,133.57,137.42
94,132.82,136.79
95,132.22,136.18
96,131.53,135.57
97,130.81,134.88
98,130.14,134.31
99,129.40,133.66
