Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,151.94,151.82
1,152.24,152.01
2,152.28,152.11
3,152.22,152.21
4,152.05,152.93
5,155.10,153.54
6,150.02,153.97
7,151.49,154.24
8,152.76,154.36
9,153.82,154.38
10,154.72,156.51
11,155.37,155.32
12,155.93,155.88
13,156.28,156.21
14,156.42,156.36
15,156.54,156.49
16,156.54,156.44
17,156.41,156.32
18,156.11,157.37
19,155.69,157.80
20,154.56,158.10
21,155.88,158.25
22,157.04,158.36
23,158.04,158.29
24,158.83,158.10
25,159.43,159.22
26,159.92,159.71
27,160.19,160.01
28,160.30,160.16
29,160.37,160.13
30,160.27,160.06
31,160.02,159.88
32,159.67,160.97
33,159.19,161.33
34,162.21,161.55
35,159.77,161.64
36,160.72,161.53
37,161.56,161.45
38,162.17,161.15
39,162.54,162.95
40,162.81,162.60
41,162.96,162.77
42,162.98,162.81
43,162.98,162.79
44,162.79,162.56
45,162.42,162.16
46,161.78,161.63
47,161.16,163.57
48,160.29,163.68
49,162.19,163.65
50,162.94,163.47
51,163.50,163.16
52,163.99,162.75
53,164.18,162.10
54,164.36,164.16
55,164.34,164.16
56,164.19,164.03
57,163.96,163.81
58,163.58,163.42
59,163.05,162.94
60,162.44,162.24
61,161.59,164.26
62,160.56,164.20
63,163.21,163.95
64,163.41,163.57
65,163.84,163.14
66,164.06,162.57
67,164.23,161.78
68,164.20,163.10
69,164.04,163.92
70,163.79,163.57
71,163.44,163.30
72,162.89,162.75
73,162.25,162.10
74,161.38,161.26
75,160.48,160.26
76,159.39,163.47
77,158.02,163.19
78,162.80,162.75
79,163.15,162.17
80,163.30,161.44
81,163.30,160.57
82,163.27,159.61
83,163.04,162.87
84,162.78,162.59
85,162.23,162.06
86,161.62,161.47
87,160.82,160.65
88,159.84,159.70
89,158.74,158.51
90,157.37,161.94
91,155.87,161.45
92,157.53,161.01
93,161.49,160.31
94,161.54,159.46
95,161.44,158.45
96,161.31,157.29
97,160.90,157.67
98,160.50,160.30
99,159.83,159.66
