Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白),提案手法(L: 黒 R: 白)#奥行,西村式(L: 黒 R: 白)#奥行
0,151.94,151.82,170.69,170.77
1,152.24,152.01,170.56,170.69
2,152.28,152.11,170.36,170.62
3,152.22,152.21,170.15,170.49
4,152.05,152.93,169.97,170.47
5,155.10,153.54,169.80,170.39
6,150.02,153.97,169.55,170.29
7,151.49,154.24,169.36,170.15
8,152.76,154.36,169.11,170.06
9,153.82,154.38,168.78,169.93
10,154.72,156.51,168.47,169.83
11,155.37,155.32,168.22,169.62
12,155.93,155.88,167.96,169.46
13,156.28,156.21,167.76,169.26
14,156.42,156.36,167.74,169.22
15,156.54,156.49,167.57,168.90
16,156.54,156.44,167.43,168.76
17,156.41,156.32,167.31,168.48
18,156.11,157.37,167.28,168.34
19,155.69,157.80,167.09,168.02
20,154.56,158.10,166.94,167.77
21,155.88,158.25,166.67,167.61
22,157.04,158.36,166.52,167.49
23,158.04,158.29,166.40,167.44
24,158.83,158.10,166.09,167.35
25,159.43,159.22,165.85,167.40
26,159.92,159.71,165.40,167.26
27,160.19,160.01,164.88,167.22
28,160.30,160.16,164.40,167.13
29,160.37,160.13,164.09,167.12
30,160.27,160.06,164.04,167.00
31,160.02,159.88,164.07,166.88
32,159.67,160.97,163.97,166.79
33,159.19,161.33,164.05,166.79
34,162.21,161.55,163.96,166.60
35,159.77,161.64,163.97,166.54
36,160.72,161.53,163.91,166.42
37,161.56,161.45,163.89,166.31
38,162.17,161.15,163.81,165.93
39,162.54,162.95,163.76,164.89
40,162.81,162.60,163.76,164.94
41,162.96,162.77,163.63,164.76
42,162.98,162.81,163.51,163.93
43,162.98,162.79,163.41,163.39
44,162.79,162.56,163.39,163.17
45,162.42,162.16,163.17,163.01
46,161.78,161.63,163.06,162.87
47,161.16,163.57,162.98,162.88
48,160.29,163.68,162.77,162.80
49,162.19,163.65,162.59,162.62
50,162.94,163.47,162.41,162.53
51,163.50,163.16,162.26,162.49
52,163.99,162.75,161.76,162.37
53,164.18,162.10,161.16,162.15
54,164.36,164.16,160.71,161.99
55,164.34,164.16,160.46,162.00
56,164.19,164.03,160.20,161.86
57,163.96,163.81,159.95,161.47
58,163.58,163.42,159.82,161.28
59,163.05,162.94,159.58,160.91
60,162.44,162.24,159.47,160.52
61,161.59,164.26,159.21,160.05
62,160.56,164.20,159.12,159.75
63,163.21,163.95,159.08,159.53
64,163.41,163.57,158.65,159.29
65,163.84,163.14,158.16,159.04
66,164.06,162.57,157.71,158.90
67,164.23,161.78,157.28,158.68
68,164.20,163.10,156.77,158.44
69,164.04,163.92,156.48,158.35
70,163.79,163.57,156.15,158.20
71,163.44,163.30,155.88,158.08
72,162.89,162.75,155.57,157.93
73,162.25,162.10,155.47,157.78
74,161.38,161.26,155.26,157.64
75,160.48,160.26,155.14,157.34
76,159.39,163.47,154.97,157.07
77,158.02,163.19,154.93,156.88
78,162.80,162.75,154.79,156.70
79,163.15,162.17,154.73,156.57
80,163.30,161.44,154.66,156.43
81,163.30,160.57,154.64,156.33
82,163.27,159.61,154.55,156.24
83,163.04,162.87,154.42,156.18
84,162.78,162.59,154.34,156.15
85,162.23,162.06,154.31,156.16
86,161.62,161.47,154.27,156.13
87,160.82,160.65,154.12,156.08
88,159.84,159.70,154.11,156.11
89,158.74,158.51,154.01,155.97
90,157.37,161.94,154.01,155.82
91,155.87,161.45,153.90,155.53
92,157.53,161.01,153.80,155.53
93,161.49,160.31,153.62,155.34
94,161.54,159.46,153.36,155.24
95,161.44,158.45,153.12,155.10
96,161.31,157.29,152.82,155.00
97,160.90,157.67,152.48,154.88
98,160.50,160.30,152.14,154.72
99,159.83,159.66,151.79,154.60
