Step(mm),提案手法(L: 黒 R: 白)#アイトラッキングなし,西村式(L: 黒 R: 白)#アイトラッキングなし
0,33.36,33.35
1,31.04,31.02
2,28.97,28.95
3,27.17,27.17
4,25.64,25.63
5,24.35,24.35
6,23.31,23.30
7,22.48,22.48
8,21.85,21.84
9,21.39,21.39
10,21.09,21.09
11,20.93,20.93
12,20.90,20.90
13,21.00,20.99
14,21.19,21.19
15,21.52,21.52
16,21.98,21.98
17,22.57,22.57
18,23.31,23.31
19,24.21,24.20
20,25.26,25.26
21,26.50,26.49
22,27.93,27.92
23,29.55,29.56
24,31.40,31.41
25,33.48,33.49
26,35.82,35.83
27,38.42,38.43
28,41.29,41.29
29,44.43,44.44
30,47.84,47.86
31,51.55,51.54
32,55.53,55.51
33,59.74,59.76
34,64.21,64.20
35,68.90,68.89
36,73.80,73.79
37,78.78,78.81
38,83.91,83.94
39,89.17,89.20
40,94.39,94.38
41,99.65,99.68
42,104.90,104.90
43,109.99,109.98
44,114.93,115.00
45,119.78,119.87
46,124.52,124.54
47,129.08,129.18
48,133.33,133.40
49,137.42,137.52
50,141.25,141.35
51,144.73,144.85
52,148.03,148.11
53,151.00,151.08
54,153.56,153.67
55,155.95,156.06
56,157.96,158.05
57,159.62,159.67
58,161.08,161.11
59,162.15,162.31
60,163.21,163.26
61,163.93,163.94
62,164.48,164.49
63,164.91,164.94
64,165.18,165.19
65,165.25,165.28
66,165.25,165.23
67,165.10,165.16
68,164.81,164.91
69,164.49,164.54
70,163.99,164.05
71,163.26,163.36
72,162.47,162.50
73,161.49,161.56
74,160.28,160.39
75,158.91,159.02
76,157.38,157.43
77,155.58,155.66
78,153.69,153.70
79,151.39,151.43
80,148.80,148.88
81,146.02,146.11
82,142.93,143.02
83,139.61,139.63
84,135.93,136.12
85,132.08,132.18
86,127.90,127.98
87,123.54,123.65
88,118.96,119.04
89,114.14,114.28
90,109.22,109.32
91,104.17,104.25
92,99.06,99.16
93,93.94,93.99
94,88.81,88.88
95,83.72,83.80
96,78.72,78.77
97,73.82,73.84
98,69.03,69.03
99,64.36,64.38
