Step(mm),水平方向分布（L: 黒 R: 白）,奥行方向分布（L: 黒 R: 白）
0,74.48,84.40
1,76.11,84.09
2,76.61,83.85
3,78.23,84.55
4,80.00,83.90
5,81.63,84.18
6,82.72,84.11
7,84.49,83.75
8,86.58,83.47
9,88.43,83.34
10,89.63,83.24
11,92.21,83.28
12,93.30,83.03
13,96.53,83.00
14,98.16,82.86
15,100.15,82.80
16,102.63,82.97
17,103.76,82.80
18,106.87,82.43
19,108.07,82.48
20,110.45,82.12
21,112.14,82.01
22,113.94,81.72
23,116.02,81.79
24,117.98,81.66
25,119.49,81.78
26,120.85,81.23
27,122.66,81.27
28,124.29,80.85
29,124.83,81.03
30,126.51,80.80
31,127.14,80.56
32,128.46,80.95
33,128.86,80.44
34,129.64,80.26
35,130.05,80.24
36,130.34,80.14
37,130.52,79.82
38,130.57,80.13
39,130.37,79.87
40,130.18,79.63
41,129.74,79.43
42,129.15,79.25
43,128.29,79.17
44,127.89,79.08
45,126.53,79.15
46,125.46,79.25
47,124.49,79.15
48,123.01,78.98
49,121.67,78.83
50,120.22,78.75
51,118.87,78.55
52,116.80,78.56
53,114.73,78.42
54,113.77,78.39
55,110.97,78.14
56,109.07,78.01
57,107.00,77.97
58,105.15,77.78
59,103.33,78.09
60,100.59,78.02
61,98.32,77.67
62,96.74,77.48
63,94.46,77.74
64,92.38,77.75
65,89.72,77.30
66,88.13,77.34
67,86.11,77.09
68,83.65,77.59
69,81.41,77.39
70,79.40,76.89
71,77.93,76.58
72,76.05,76.66
73,74.05,76.88
74,72.69,76.22
75,70.92,76.59
76,69.59,75.83
77,68.33,75.89
78,67.08,76.58
79,66.22,76.38
80,65.16,75.68
81,64.43,75.79
82,63.65,75.44
83,62.94,75.36
84,62.45,75.38
85,62.22,75.96
86,62.07,75.04
87,62.09,75.05
88,62.38,74.81
89,62.67,75.21
90,62.93,75.44
91,63.44,74.80
92,63.89,74.76
93,65.00,75.18
94,65.89,74.48
95,66.57,74.56
96,68.01,74.59
97,70.17,74.78
98,70.95,74.26
99,71.89,75.17
100,73.47,74.92
101,75.14,74.15
102,76.93,74.11
103,79.04,73.97
104,81.39,74.45
105,81.80,73.94
106,85.43,73.86
107,85.68,73.81
108,88.27,73.82
109,89.94,73.61
110,93.19,73.63
111,93.71,73.90
112,96.16,73.91
113,98.57,73.91
114,100.60,73.65
115,103.20,73.29
116,103.93,73.21
117,106.68,74.02
118,108.70,73.03
119,109.68,72.93
120,112.21,73.45
121,113.49,72.88
122,115.30,73.05
123,116.03,72.97
124,117.75,72.84
125,118.26,73.75
126,119.97,73.37
127,120.15,72.47
128,121.66,72.85
129,122.42,72.81
130,123.42,72.67
131,123.74,72.61
132,124.04,72.31
133,124.35,72.74
134,124.56,72.49
135,124.49,72.51
136,124.38,72.52
137,124.06,72.34
138,123.34,72.53
139,123.11,72.37
140,122.45,72.61
141,121.05,72.14
142,120.58,72.19
143,119.70,72.37
144,118.17,72.50
145,117.12,72.22
146,115.62,71.97
147,114.04,72.03
148,112.25,72.13
149,110.75,72.28
