Step(mm),柳田式（L: 黒 R: 白)#アイトラッキング,堀式（L: 黒 R: 白）#アイトラッキング
0,144.44,172.88
1,144.79,173.34
2,145.57,173.62
3,146.43,173.69
4,146.68,173.43
5,146.45,173.30
6,146.34,174.14
7,146.22,174.69
8,146.06,175.21
9,146.49,175.50
10,147.32,175.60
11,147.95,175.28
12,147.98,174.84
13,147.62,175.60
14,147.27,176.27
15,147.00,176.77
16,146.83,177.09
17,147.16,177.15
18,148.02,177.03
19,148.55,176.28
20,148.40,176.88
21,147.81,177.50
22,147.27,177.88
23,146.83,178.27
24,146.67,178.45
25,147.03,178.32
26,147.74,177.70
27,148.12,177.76
28,147.75,178.44
29,147.07,178.87
30,146.39,179.13
31,145.80,179.10
32,145.59,179.07
33,145.85,178.43
34,146.39,177.99
35,146.51,178.52
36,145.96,179.04
37,145.14,179.33
38,144.34,179.41
39,143.65,179.21
40,143.34,178.77
41,143.60,177.83
42,143.93,178.35
43,143.80,178.82
44,143.03,179.07
45,142.13,179.02
46,141.26,178.92
47,140.54,178.46
48,140.15,177.38
49,140.25,177.57
50,140.40,178.05
51,140.05,178.12
52,139.23,178.20
53,138.27,178.10
54,137.31,177.69
55,136.52,176.81
56,136.06,176.45
57,136.14,176.83
58,136.17,177.15
59,135.67,177.14
60,134.84,177.16
61,133.82,176.71
62,132.86,175.87
63,131.88,175.00
64,131.42,175.41
65,131.47,175.69
66,131.40,175.87
67,130.90,175.82
68,129.86,175.54
69,128.83,174.78
70,127.77,173.40
71,126.69,173.66
72,126.19,174.03
73,126.14,174.21
74,125.98,174.14
75,125.37,173.90
76,124.32,173.22
77,123.22,171.72
78,122.02,171.67
79,120.99,172.07
80,120.49,172.13
81,120.41,172.21
82,120.23,172.00
83,119.51,171.41
84,118.42,170.00
85,117.25,169.29
86,115.94,169.57
87,114.95,169.84
88,114.52,169.71
89,114.41,169.56
90,114.16,168.97
91,113.22,167.55
92,112.03,166.28
93,110.72,166.54
94,109.37,166.85
95,108.29,166.85
96,107.90,166.57
97,107.84,166.12
98,107.41,164.93
99,106.50,162.92
